Internet access state,Device Type,Client Name,Client IP address,IP Method,Clients MAC Address,Interface,Tx Rate,Rx Rate,Access time
Allow Internet access,"Reolink Innovation Limited","Vue",192.168.50.7,MAC-IP Binding,EC:71:DB:53:80:BB,Wired,-,-,-
Allow Internet access,"Intel Corporate","nghia-phan-NUC12WSKi5",192.168.50.10,Automatic IP,E4:60:17:5E:36:A7,5 GHz,720.6,6,00:00:19
Allow Internet access,"Espressif Inc.","Sensibo-Sky",192.168.50.12,Automatic IP,84:F3:EB:AF:28:61,Wired,-,-,-
Allow Internet access,"HangZhou Gubei Electronics Technology Co.Ltd","salon_LIGHT_trepied",192.168.50.13,MAC-IP Binding,78:0F:77:19:CB:2B,Wired,-,-,-
Allow Internet access,"Reolink Innovation Limited","Jardin",192.168.50.18,MAC-IP Binding,EC:71:DB:86:99:FD,Wired,-,-,-
Allow Internet access,"android-dhcp-11","android-dhcp-11",192.168.50.20,Automatic IP,48:B0:2D:C2:12:AF,Wired,-,-,-
Allow Internet access,"Espressif Inc.","jardin_LIGHT_store_banne",192.168.50.25,MAC-IP Binding,C4:4F:33:D2:44:BB,Wired,-,-,-
Allow Internet access,"HangZhou Gubei Electronics Technology Co.Ltd","salon_REMOTE_Broadlink",192.168.50.28,MAC-IP Binding,78:0F:77:18:1F:58,Wired,-,-,-
Allow Internet access,"Espressif Inc.","salon_LIGHT_led_worldmap",192.168.50.30,MAC-IP Binding,C8:C9:A3:5B:99:8F,Wired,-,-,-
Allow Internet access,"TP-Link Systems Inc.","PGW2440",192.168.50.39,Automatic IP,EC:75:0C:A6:EB:7A,Wired,-,-,-
Allow Internet access,"Ring LLC","cuisine_CAMERA",192.168.50.41,MAC-IP Binding,9C:76:13:6B:C9:9D,Wired,-,-,-
Allow Internet access,"HangZhou Gubei Electronics Technology Co.Ltd","salon_LIGHT_ampoule_coeur",192.168.50.47,MAC-IP Binding,78:0F:77:4C:C4:9F,Wired,-,-,-
Allow Internet access,"Espressif Inc.","buanderie_CONTROLLER_esp_melitta",192.168.50.48,MAC-IP Binding,48:55:19:14:30:52,Wired,-,-,-
Allow Internet access,"Netatmo","cuisine_WEATHER_Netatmo_Station",192.168.50.57,MAC-IP Binding,70:EE:50:00:C3:F4,Wired,-,-,-
Allow Internet access,"TP-Link Corporation Limited","jardin_WIFI_AP_deco_P9_cab_gaz",192.168.50.71,MAC-IP Binding,00:31:92:22:97:E2,Wired,-,-,-
Allow Internet access,"Mac OS X","Air-de-Nghia",192.168.50.79,Automatic IP,F0:79:60:12:10:3E,2.4 GHz,144.4,72.2,01:03:57
Allow Internet access,"Samsung Electronics Co.Ltd","Samsung",192.168.50.80,Automatic IP,F4:DD:06:3D:6A:70,5 GHz,86.7,6,19:56:05
Allow Internet access,"Ring LLC","salon_CHIME_Ring_Chime_2nd_Gen",192.168.50.81,MAC-IP Binding,34:3E:A4:52:DB:C3,Wired,-,-,-
Allow Internet access,"TP-Link Corporation Limited","salon_WIFI_AP_deco_P9",192.168.50.82,MAC-IP Binding,00:31:92:22:9D:3A,Wired,-,-,-
Allow Internet access,"Netatmo","buanderie_RELAY_Netatmo",192.168.50.83,MAC-IP Binding,70:EE:50:9B:BA:48,2.4 GHz,65,52,19:58:06
Allow Internet access,"dhcpcd-6.8.2:Linux-3.8.13+:armv","Chromecast",192.168.50.97,Automatic IP,F0:EF:86:4C:AB:A8,2.4 GHz,58.5,1,13:11:39
Allow Internet access,"Ring LLC","salon_CAMERA_canape",192.168.50.101,MAC-IP Binding,9C:76:13:66:DA:DC,Wired,-,-,-
Allow Internet access,"TP-Link Systems Inc.","pg2400pv1",192.168.50.103,Automatic IP,EC:75:0C:A6:E3:FE,Wired,-,-,-
