name,ip,mac,confidence
salon_ALARM_Ring_Alarm_Base,192.168.50.235,,0.95
jardin_CAMERA_coté,192.168.50.245,,0.85
android-dhcp-8 1 0,192.168.50.249,,0.8
ZJ6-EU-KAA1048A,192.168.50.199,,0.9
Reolink Innovation Limited,192.168.50.207,,0.9
Shenzhen SSC Technology Co Ltd,192.168.50.214,,0.88
Brother MFC9340CDW,192.168.50.219,,0.9
iPhone-de-nghia,192.168.50.221,,0.92
Reolink Doorbell Vue sur entree,192.168.50.222,,0.9
salon_CONTROLLER_Somfy_Tahoma_Bo,192.168.50.226,,0.85
NPH_DiskStation,192.168.50.232,,0.92
jardin_CAMERA_jardin_devant,192.168.50.160,,0.88
FRUH113062,192.168.50.168,,0.85
cuisine_LIGHT_appliques,192.168.50.169,,0.85
cuisine_CHIME_Ring_Chime,192.168.50.170,,0.9
UZG-01,192.168.50.175,,0.85
GL-800,192.168.50.176,,0.85
UZG-01,192.168.50.181,,0.75
jardin_WIFI_AP_deco_P9_derriere,192.168.50.196,,0.88
dreame_vacuum_r2228o,192.168.50.105,,0.9
nghia-phan-NUC12WSKi5,192.168.50.112,,0.95
jardin_DOORBELL_VIDEO,192.168.50.124,,0.9
salon_CONTROLLER_PI_CM4_HA,192.168.50.125,,0.95
homeassistant,192.168.50.126,,0.95
android-dhcp-13,192.168.50.128,,0.88
Allee,192.168.50.129,,0.88
cuisine_DISPLAY_echo_show,192.168.50.155,,0.9
jardin_CAMERA_canape,192.168.50.101,,0.9
pg2400pv1,192.168.50.103,,0.85
salon_REMOTE_Broadlink,192.168.50.28,,0.9
salon_LIGHT_led_worldmap,192.168.50.30,,0.88
PGW2440,192.168.50.39,,0.88
cuisine_CAMERA,192.168.50.41,,0.88
salon_LIGHT_ampoule_coeur,192.168.50.47,,0.88
buanderie_CONTROLLER_esp_melitta,192.168.50.48,,0.88
cuisine_WEATHER_Netatmo_Station,192.168.50.57,70:EE:50:00:C3:F4,0.9
jardin_WIFI_AP_deco_P9_cab_gaz,192.168.50.71,,0.88
Air-de-Nghia,192.168.50.79,,0.9
Samsung,192.168.50.80,,0.9
salon_CHIME_Ring_Chime_2nd_Gen,192.168.50.81,,0.9
salon_WIFI_AP_deco_P9,192.168.50.82,,0.9
buanderie_RELAY_Netatmo,192.168.50.83,,0.88
Chromecast,192.168.50.97,54:60:09:F8:DE:AE,0.92
RT-AX58U,192.168.50.1,,0.98
Vue,192.168.50.7,,0.92
nghia-phan-NUC12WSKi5,192.168.50.10,,0.88
Sensibo-Sky,192.168.50.12,,0.88
salon_LIGHT_trepied,192.168.50.13,,0.88
Jardin,192.168.50.18,,0.88
android-dhcp-11,192.168.50.20,,0.88
jardin_LIGHT_store_banne,192.168.50.25,,0.88
iPhone,,BA:99:6D:19:82:F9,0.95
Chromecast-Audio,,54:60:09:F8:DE:AE,0.95
Nest Labs Inc,,18:B4:30:A8:B3:4E,0.92
Nest Labs Inc,,18:B4:30:A8:91:34,0.92
Garmin International,,38:F9:F5:62:D1:C5,0.9
Amazon,,28:73:F6:73:51:4C,0.9
salon_LIGHT_plafond_projecteur,,78:0F:77:19:B9:D2,0.9
jardin_ROBOT_MyDolphinPlus,,AC:74:C4:00:EC:32,0.88
salon_SWITCH_amplificateur_NuPri,,78:0F:77:19:C9:E3,0.88
jardin_LIGHT_lampe_terrasse_pisc,,78:0F:77:61:BF:28,0.88
jardin_ELECTROVALVE_bassin_poiss,,48:E1:E9:45:51:61,0.9
jardin_LIGHT_led_mur,,C4:4F:33:AE:6C:22,0.9
Galaxy-S10-de-Nghia,,56:83:09:19:4A:CE,0.95
jardin_LIGHT_led_buddha,,24:62:AB:6E:F1:83,0.9
garage_ELECTROVALVE_arrosage,,78:0F:77:61:BA:6B,0.9
salon_LIGHT_led_plafond_mur_long,,7C:B9:4C:20:36:83,0.88
jardin_LIGHT_projecteur_olivier,,10:D5:61:05:90:6B,0.88
jardin_LIGHT_projecteur_niwaki,,8C:CE:4E:DD:6E:D4,0.88
jardin_LIGHT_vase_droite_garage,,48:E1:E9:37:A1:CB,0.9
salon_LIGHT_plafond_projecteur,,7C:B9:4C:1F:47:7D,0.9
jardin_CAMERA_Piscine,,0C:B2:B7:4F:37:F3,0.92
salon_LIGHT_vase_gauche_garage,,48:E1:E9:37:9B:2F,0.9
salon_LIGHT_lampe_cuivre,,78:0F:77:4C:C6:58,0.9
jardin_CAMERA_pool_house,,9C:76:13:FB:C4:00,0.92
jardin_CAMERA_au_fond,,9C:76:13:10:AF:AD,0.92
jardin_CAMERA_entree,,9C:76:13:10:BB:9C,0.92
salon_LIGHT_led_plafond_salon_Sa,,7C:B9:4C:1F:ED:A3,0.9
jardin_LIGHT_terrasse_pool_house,,78:0F:77:61:C0:5F,0.9
jardin_LIGHT_projecteur_cascade,,10:D5:61:05:77:64,0.9
MacBookPro2_de_Nghia_2017,,98:01:A7:B4:AC:19,0.95
Boox Tab Ultra,,00:0A:DA:95:F4:B7,0.92
salon_LIGHT_plafonnier,,68:C6:3A:C1:AF:87,0.92
jardin_LIGHT_projecteur_piscine,,78:0F:77:61:37:C2,0.9
cuisine_REMOTE_Led_Bassin_HF-LPT,,98:D8:63:26:63:C6,0.92
